Species,Genus,Species_name,Biomes,Woody_Herbaceous,Evergreen_Deciduous_Herb,Biome_FunctionalType,OsmoticPotential_WET_MPa,OsmoticPotential_DRY_MPa,OsmoticAdjustment_MPa,TLP_WET_MPa,TLP_DRY_MPa,TLP_Adjustment_MPa,TLP_adjustment_contribution_to_TLP_DRY_percent,RWC_total_wet_percent,RWC_total_dry_percent,RWC_total_Adjustment_percent,RWC_adjustment_contribution_to_postdroughtRWC_percent,Drought Treatment,Site_Latitude,Site_Longitude,Site_Number,MeanAnnualPrecip_mm,AridityIndex_AI,PotentialEvapotranspiration_annual_mm,MeanPrecipitation_WetSeason_mm,MeanPrecipitation_DrySeason_mm,PotentialEvapotranspiration_WetSeason_mm,PotentialEvapotranspiration_DrySeason_mm,Annual_WaterBalance_mm,WetSeason_WaterBalance_mm,DrySeason_WaterBalance_mm,Seasonal_Difference_WaterBalance_mm,Wet month,Dry month,Reference,Notes
Polygonum newberryi,Polygonum,newberryo,Alpine/Subalpine,W,D,Alpine/Subalpine,-0.66,-0.82,-0.16,-0.85,-0.93,-0.08,8.602150538,86.4,88.4,2,2.262443439,Seasonal adjustment,46.1667,-122.2333,Site39,2917,4.3412,674,42,61,123,108,2243,-81,-47,-34,July,August,Chapin & Bliss 1988,
Polylepis tarapacana,Polylepis,tarapacana,TropicalDry,W,E,TropicalDryE,-1.46,-1.38,0.08,-2.23,-2.25,-0.02,0.888888889,,,,,Seasonal adjustment,-18.1167,-68.95,Site45,339,0.3222,1055,88,4,95,84,-716,-7,-80,73,February,September,Garcia-Nunez et al. 2004,
Polylepsis sericea,Polylepsis,sericea,Alpine/Subalpine,W,E,Alpine/Subalpine,-1.16,-1.55,-0.39,-1.4,-1.85,-0.45,24.32432432,90.9,85.1,-5.8,-6.815511163,Seasonal adjustment,8.6167,-70.2,Site7,850,0.9621,1708,107,14,130,146,-858,-23,-132,109,November,January,Rada et al. 1985,
Populus euphratica,Populus,euphratica,SemiDesert,W,E,SemiDesert,,,,-1.34,-2.22,-0.88,39.63963964,,,,,Seasonal adjustment,37.01666667,80.8,Site65,33,0.0259,1271,7,6,170,195,-1238,-163,-194,31,May,July,Thomas et al. 2008,
Populus tremloides,Populus,tremloides,Temperate,W,D,TemperateD,-1.43,-1.97,-0.54,-1.53,-2.78,-1.25,44.96402878,92.9,89.9,-3,-3.337041157,Seasonal adjustment,44.710281,-89.09582,Site70,814,0.9025,903,91,102,132,138,-89,-41,-36,-5,May,August,Abrams 1988,
Populus trichocarpa,Populus,trichocarpa,Temperate,W,D,TemperateD,-1.58,-1.37,0.21,-1.9,-1.58,0.32,-20.25316456,,,,,Seasonal adjustment,47.9,-122.1,Site56,1058,1.2482,846,55,60,128,84,212,-73,-24,-49,June,September,Pezeshki & Hinckley 1988,
Prosopis glandulosa,Prosopis,glandulosa,SemiDesert,W,E,SemiDesert,-1.050505051,-2.747474747,-1.696969696,-1.595959596,-4.727272727,-3.131313131,66.23931624,,,,,Seasonal adjustment,33.25,-116.3833333,Site12,301.3,0.1086,1805,27,6,80,252,-1503.7,-53,-246,193,February,July,Nilsen et al. 1983,
Protium icicariba,Protium,icicariba,Coastal/Wetland,W,E,Coastal/Wetland,-2.32,-2.69,-0.37,-2.47,-2.78,-0.31,11.15107914,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Prunus armeniaca,Prunus,armeniaca,SemiDesert,W,D,SemiDesert,-1.33,-1.55,-0.22,-1.49,-1.88,-0.39,20.74468085,92.1,88.6,-3.5,-3.9503386,Seasonal adjustment,39.2,111.2666667,Site67,455,0.4312,1055,29,52,155,174,-600,-126,-122,-4,May,June,Chai et al. 2000,
Psuedotsuga menziesii,Psuedotsuga,menziesii,TemperateConifer,W,E,TemperateConifer,-2.37,-2.48,-0.11,-2.78,-2.91,-0.13,4.467353952,88.2,87.3,-0.9,-1.030927835,Seasonal adjustment,46.8,-116.8,Site49,698,0.75,932,24,30,179,158,-234,-155,-128,-27,July,August,Jackson & Spomer 1989,
Psychotria chagrensis,Psychotria,chagrensis,TropicalDry,W,E,TropicalDryE,-0.88,-1.05,-0.17,-1.02,-1.13,-0.11,9.734513274,,,,,Seasonal adjustment,9.15,-79.85,Site8,2600,1.8755,1392,284,32,123,105,1208,161,-73,234,October,February,Wright et al. 1992,
Psychotria furcata,Psychotria,furcata,TropicalDry,W,E,TropicalDryE,-0.845,-1.55,-0.705,-1,-1.69,-0.69,40.82840237,,,,,Seasonal adjustment,9.15,-79.85,Site8,2600,1.8755,1392,284,32,123,105,1208,161,-73,234,October,February,Wright et al. 1992,
Psychotria horizontalis,Psychotria,horizontalis,TropicalDry,W,E,TropicalDryE,-1.12,-1.275,-0.155,-1.28,-1.4,-0.12,8.571428571,,,,,Seasonal adjustment,9.15,-79.85,Site8,2600,1.8755,1392,284,32,123,105,1208,161,-73,234,October,February,Wright et al. 1992,
Psychotria limonensis,Psychotria,limonensis,TropicalDry,W,E,TropicalDryE,-1.014,-1.015,-0.001,-1.11,-1.12,-0.01,0.892857143,,,,,Seasonal adjustment,9.15,-79.85,Site8,2600,1.8755,1392,284,32,123,105,1208,161,-73,234,October,February,Wright et al. 1992,
Psychotria marginata,Psychotria,marginata,TropicalDry,W,E,TropicalDryE,-1.295,-1.24,0.055,-1.39,-1.34,0.05,-3.731343284,,,,,Seasonal adjustment,9.15,-79.85,Site8,2600,1.8755,1392,284,32,123,105,1208,161,-73,234,October,February,Wright et al. 1992,
Pterospermum menglunense,Pterospermum,menglunense,TropicalDry,W,E,TropicalDryE,-1.04,-1.137173992,-0.097173992,-1.67958,-1.848562667,-0.168982667,9.141300412,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Pyrus amygdaliformis,Pyrus,amygdaliformis,Med/TempDry,W,D,Med/TempDry,,,,-2.92,-3.9,-0.98,25.12820513,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Qualea dichotoma,Qualea,dichotoma,TropicalDry,W,D,TropicalDryD,-2.36,-2.26,0.1,-2.7,-2.9,-0.2,6.896551724,91.69,92.64,0.95,1.025474957,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Qualea grandifolia,Qualea,grandifolia,TropicalDry,W,D,TropicalDryD,-1.91,-2.1,-0.19,-2.2,-2.5,-0.3,12,90.06,95.71,5.65,5.903249399,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Quercus aegilops,Quercus,aegilops,Med/TempDry,W,D,Med/TempDry,,,,-3,-3.63,-0.63,17.3553719,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Quercus alba,Quercus,alba,Temperate,W,D,TemperateD,-1.6,-1.5,0.1,-2.02,-2.68,-0.66,24.62686567,67,65,-2,-3.076923077,Seasonal adjustment,38.8,-92.2,Site54,977,0.8676,1126,121,96,143,177,-149,-22,-81,59,May,September,Parker et al. 1982,
Quercus calliprinos,Quercus,calliprinos,Med/TempDry,W,E,Med/TempDry,,,,-2.51,-3.87,-1.36,35.14211886,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Quercus chapmanii,Quercus,chapmanii,Temperate,W,D,TemperateD,-1.28,-1.68,-0.4,-1.61,-2.07,-0.46,22.22222222,,,,,Seasonal adjustment,27.18333333,-81.35,Site69,1253,0.7654,1637,161,63,144,94,-384,17,-31,48,September,February,Abrams & Menges 1992,
Quercus ellipsoidalis,Quercus,ellipsoidalis,Temperate,W,D,TemperateD,-0.83,-1.2,-0.37,-0.99,-1.72,-0.73,42.44186047,92.1,97.7,5.6,5.731832139,Seasonal adjustment,44.710281,-89.09582,Site70,814,0.9025,903,91,102,132,138,-89,-41,-36,-5,May,August,Abrams 1988,
Quercus floribunda,Quercus,floribunda,TropicalDry,W,E,TropicalDryE,-1.66,-2.6,-0.94,-1.86,-3.04,-1.18,38.81578947,91,85,-6,-7.058823529,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Quercus garryana,Quercus,garryana,Temperate,W,D,TemperateD,-2.03,-2.89,-0.86,-2.69,-3.58,-0.89,24.8603352,,,,,Seasonal adjustment,44.63812412,-123.192101,Site26,1085,1.0793,1020,35,18,148,157,65,-113,-139,26,June,August,Davis 2005,
Quercus illicifolia,Quercus,illicifolia,Temperate,W,D,TemperateD,-1.365853659,-1.634146341,-0.268292682,-1.7,-1.76,-0.06,3.225360485,,,,,Seasonal adjustment,47.81305556,-114.3091667,Site83,452,0.5863,908,57,39,123,91,-456,-66,-52,-14,June,August,Kubiske & Abrams 1991b,
Quercus infectoria,Quercus,infectoria,Med/TempDry,W,D,Med/TempDry,,,,-2.9,-3.81,-0.91,23.88451444,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Quercus inopina,Quercus,inopina,Temperate,W,D,TemperateD,-2.23,-1.69,0.54,-2.57,-2.17,0.4,-18.43317972,,,,,Seasonal adjustment,27.18333333,-81.35,Site69,1253,0.7654,1637,161,63,144,94,-384,17,-31,48,September,February,Abrams & Menges 1992,
Quercus lantana,Quercus,lantana,TropicalDry,W,E,TropicalDryE,-1.88,-2.21,-0.33,-1.86,-2.5,-0.64,25.6,89.8,84.3,-5.5,-6.524317912,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Quercus leucotrichophora,Quercus,leucotrichophora,TropicalDry,W,E,TropicalDryE,-1.53,-2.3,-0.77,-2.01,-2.8,-0.79,28.21428571,86.9,85.3,-1.6,-1.875732708,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Quercus macrocarpa,Quercus,macrocarpa,Temperate,W,D,TemperateD,-1.6,-2.4,-0.8,-1.99,-3.02,-1.03,34.10596026,85.8,78,-7.8,-10,Seasonal adjustment,39.1,-96.6,Site34,863,0.7395,1167,137,99,170,187,-304,-33,-88,55,June,July,Abrams & Knapp 1986,
Quercus muehlenbergii,Quercus,muehlenbergii,Temperate,W,D,TemperateD,-1.69,-2.09,-0.4,-1.89,-2.36,-0.47,19.91525424,92,81.5,-10.5,-12.88343558,Seasonal adjustment,39.1,-96.6,Site34,863,0.7395,1167,137,99,170,187,-304,-33,-88,55,June,July,Abrams & Knapp 1986,
Quercus myrtifolia,Quercus,myrtifolia,Temperate,W,D,TemperateD,-1.67,-1.56,0.11,-2.02,-1.97,0.05,-2.538071066,,,,,Seasonal adjustment,27.18333333,-81.35,Site69,1253,0.7654,1637,161,63,144,94,-384,17,-31,48,September,February,Abrams & Menges 1992,
Quercus petraea,Quercus,petraea,Temperate,W,D,TemperateD,-1.72,-1.98,-0.26,-2.19,-2.49,-0.3,12.04819277,,,,,Seasonal adjustment,41.11666667,-3.5,Site29,604,0.6623,921,55,27,136,162,-317,-81,-135,54,June,July,Aranda et al. 1996,
Quercus prinus,Quercus,prinus,Temperate,W,D,TemperateD,-1.26,-1.35,-0.09,-1.5,-1.51,-0.01,0.662251656,,,,,Seasonal adjustment,47.81305556,-114.3091667,Site83,452,0.5863,908,57,39,123,91,-456,-66,-52,-14,June,August,Kubiske & Abrams 1991b,
Quercus pyrenaica,Quercus,pyrenaica,Temperate,W,D,TemperateD,-1.24,-2.13,-0.89,-1.75,-2.73,-0.98,35.8974359,,,,,Seasonal adjustment,41.11666667,-3.5,Site29,604,0.6623,921,55,27,136,162,-317,-81,-135,54,June,July,Aranda et al. 1996,
Quercus rubra,Quercus,rubra,Temperate,W,D,TemperateD,-1.33,-1.9,-0.57,-1.88,-2.77,-0.89,32.1299639,63,61,-2,-3.278688525,Seasonal adjustment,38.8,-92.2,Site54,1072,0.8084,1326,121,96,143,177,-254,-22,-81,59,May,September,Parker et al. 1982,
Quisqualis indica,Quisqualis,indica,TropicalDry,W,E,TropicalDryE,-0.92,-1.32,-0.4,-1.37,-1.43,-0.06,4.195804196,,,,,Seasonal adjustment,21.9,101.7666667,Site10,1493,1.0392,1394,303,86,125,86,99,178,0,178,August,November,Zhu & Cao 2009,
Randia armata,Randia,armata,TropicalDry,W,E,TropicalDryE,-1.68,-2.44,-0.76,-1.96,-2.77,-0.81,29.24187726,,,,,Seasonal adjustment,19.5,-105.05,Site43,782,0.4232,1824,139,32,168,123,-1042,-29,-91,62,July,November,Fanjul & Barradas 1987,
Rhamnus californica,Rhamnus,californica,Med/TempDry,W,E,Med/TempDry,-1.6,-1.52,0.08,-2.29,-2.75,-0.46,16.72727273,,,,,Seasonal adjustment,37.4,-122.2,Site41,626,0.5602,1112,10,2,128,151,-486,-118,-149,31,May,July,Davis & Mooney 1986,
Rhizophora mangle,Rhizophora,mangle,Coastal/Wetland,W,E,Coastal/Wetland,-3.47,-3.74,-0.27,-4.25,-4.38,-0.13,2.96803653,,,,,Seasonal adjustment,10.83333333,-68.23333333,Site73,1061,0.6957,1525,142,61,136,132,-464,6,-71,77,October,May,Rada et al. 1989,
Rhododendron arboreum,Rhododendron,arboreum,TropicalDry,W,E,TropicalDryE,-1.49,-1.87,-0.38,-1.74,-2.09,-0.35,16.74641148,91.8,92.5,0.7,0.756756757,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Robinia pseudoacacia,Robinia,pseudoacacia,SemiDesert,W,D,SemiDesert,-1.35,-1.51,-0.16,-1.81,-2.12,-0.31,14.62264151,91.5,77.9,-13.6,-17.45827985,Seasonal adjustment,39.2,111.2666667,Site67,455,0.4312,1055,29,52,155,174,-600,-126,-122,-4,May,June,Chai et al. 2000,
Santalum acuminatum,Santalum,acuminatum,Med/TempDry,W,E,Med/TempDry,,,,-2.444444444,-2.694444444,-0.25,9.278350517,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Saprosma ternata ,Saprosma,ternatum,TropicalDry,W,E,TropicalDryE,-0.88,-0.890260955,-0.010260955,-1.392072,-1.407741333,-0.015669333,1.113083275,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Scinus johnstonii,Schinus,johnstonii,SemiDesert,W,E,SemiDesert,-3.04,-2.52,0.52,-3.77,-3.79,-0.02,0.527704485,,,,,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,104,116,-660,-93,-107,14,February,November,Scholz et al. 2012,
Senecio filaginoides,Senecio,filaginoides,SemiDesert,W,E,SemiDesert,-1.26,-1.41,-0.15,-1.72,-2.24,-0.52,23.21428571,,,,,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,104,116,-660,-93,-107,14,February,November,Scholz et al. 2012,
Shorea robusta,Shorea,robusta,TropicalDry,W,E,TropicalDryE,-1.58,-1.87,-0.29,-2.04,-2.23,-0.19,8.520179372,85.5,78.9,-6.6,-8.365019011,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Shorea wantianshuensis,Shorea,wantianshuea,TropicalDry,W,E,TropicalDryE,-1.0889,-1.115633011,-0.026733011,-1.76252,-1.810082667,-0.047562667,2.627651628,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Sloanea tomentosa,Sloanea,tomentosa,TropicalDry,W,E,TropicalDryE,-0.987,-0.974828059,0.012171941,-1.58,-1.55868,0.02132,-1.367824056,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Solanum lycocarpum,Solanum,lycocarpum,TropicalDry,W,E,TropicalDryE,-1.23,-1.8,-0.57,-1.98,-2.3,-0.32,13.91304348,87.36,91.48,4.12,4.503716659,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Stryphnodendron barbadetimao,Stryphnodendron,barbadetimao,TropicalDry,W,D,TropicalDryD,-2.2,-2.81,-0.61,-2.55,-3.15,-0.6,19.04761905,84.54,94.39,9.85,10.43542748,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Stryphnodendron obovatum,Stryphnodendron,obovatum,TropicalDry,W,D,TropicalDryD,-1.99,-2.43,-0.44,-2.5,-3.05,-0.55,18.03278689,84.58,85.89,1.31,1.52520666,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Styrax camporum,Styrax,camporum,TropicalDry,W,E,TropicalDryE,-2.65,-2.14,0.51,-2.9,-2.6,0.3,-11.53846154,94.32,95.63,1.31,1.369863014,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Styrax officinalis,Styrax,officinalis,Med/TempDry,W,D,Med/TempDry,,,,-1.65,-3.52,-1.87,53.125,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Sumbaviopsis albicans ,Sumbaviopsis,albicans,TropicalDry,W,E,TropicalDryE,-1.246,-1.422333905,-0.176333905,-2.04306,-2.357746667,-0.314686667,13.34692446,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Syzygium szemaoense,Syzygium,szemaoense,TropicalDry,W,E,TropicalDryE,-1,-1.56,-0.56,-1.28,-1.77,-0.49,27.68361582,14,,,,Seasonal adjustment,21.9,101.7666667,Site10,1493,1.0392,1394,303,86,125,86,99,178,0,178,August,November,Zhu & Cao 2009,
Tamarix austromongolica,Tamarix,austromongolica,SemiDesert,W,E,SemiDesert,-1.81,-1.43,0.38,-1.975,-1.68,0.295,-17.55952381,96.04,91.41,-4.63,-5.065091347,Seasonal adjustment,39.2,111.2666667,Site67,455,0.4312,1055,29,52,155,174,-600,-126,-122,-4,May,June,Chai et al. 2000,
Tamarix ramosissima,Tamarix,ramosissima,SemiDesert,W,E,SemiDesert,,,,-1.78,-2.84,-1.06,37.32394366,,,,,Seasonal adjustment,37.01666667,80.8,Site65,33,0.0259,1271,7,6,170,195,-1238,-163,-194,31,May,July,Thomas et al. 2008,
Terminalia ferdinandiana,Terminalia,ferdinandiana,Med/TempDry,W,D,Med/TempDry,-1.54,-1.48,0.06,-1.8,-1.72,0.08,-4.651162791,85,91,6,6.593406593,Seasonal adjustment,-12.5667,131.0833,Site53,1509,0.8592,1755,125,85,165,139,-246,-40,-54,14,November,April,Myers et al. 1997,
Ternstroemia brasiliensis,Ternstroemia,brasiliensis,Coastal/Wetland,W,E,Coastal/Wetland,-1.55,-1.9,-0.35,-1.88,-2.41,-0.53,21.99170124,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Tetraena mongolica,Tetraena,mongolica,SemiDesert,W,E,SemiDesert,-1.49,-1.9,-0.41,-2.55,-3.2,-0.65,20.3125,,,,,Seasonal adjustment,39.5,107.1666667,Site66,208,0.2082,994,45,27,166,98,-786,-121,-71,-50,July,September,Shi et al. 2008,
Thouinia paocidentata,Thouinia,paocidentata,TropicalDry,W,D,TropicalDryD,-2.57,-2.07,0.5,-2.78,-3.81,-1.03,27.03412073,,,,,Seasonal adjustment,19.5,-105.05,Site43,782,0.4232,1824,139,32,168,123,-1042,-29,-91,62,July,November,Fanjul & Barradas 1987,
Thouinidium decandrum,Thouinidium,decandrum,TropicalDry,W,E,TropicalDryE,-2.3,-2.81,-0.51,-3.48,-3.19,0.29,-9.090909091,,,,,Seasonal adjustment,19.5,-105.05,Site43,782,0.4232,1824,139,32,168,123,-1042,-29,-91,62,July,November,Fanjul & Barradas 1987,
Thuja occidentalis,Thuja,occidentalis,TemperateConifer,W,E,TemperateConifer,-1.335,-1.975,-0.64,-2.575,-3.19,-0.615,19.27899687,,,,,Seasonal adjustment,43.44166667,-79.91666667,Site40,845,0.9769,867,86,80,133,89,-22,-47,-9,-38,August,September,Collier & Boyer 1989,
Thuja plicata,Thuja,plicata,TemperateConifer,W,E,TemperateConifer,-1.39,-1.55,-0.16,-1.85,-1.99,-0.14,7.035175879,85.6,82.9,-2.7,-3.256936068,Seasonal adjustment,46.8,-116.8,Site49,698,0.75,932,24,30,179,158,-234,-155,-128,-27,July,August,Jackson & Spomer 1989,
Tibouchina stenocarpa,Tibouchina,stenocarpa,TropicalDry,W,D,TropicalDryD,-1.32,-2.01,-0.69,-1.69,-2.6,-0.91,35,89.95,87.11,-2.84,-3.260245666,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Tocoyena formosa,Tocoyena,formosa,TropicalDry,W,D,TropicalDryD,-2.38,-1.96,0.42,-2.8,-2.6,0.2,-7.692307692,88.79,91.65,2.86,3.120567376,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Trichilia trifolia,Trichilia,trifolia,TropicalDry,W,D,TropicalDryD,-1.59,-2.02,-0.43,-1.98,-2.77,-0.79,28.5198556,,,,,Seasonal adjustment,19.5,-105.05,Site43,782,0.4232,1824,139,32,168,123,-1042,-29,-91,62,July,November,Fanjul & Barradas 1987,
Trigonostemon thyrsoideum ,Trigonostemon , thyrsoideum,TropicalDry,W,E,TropicalDryE,-0.836,-0.881194373,-0.045194373,-1.31064,-1.391586667,-0.080946667,5.816861329,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Turpinia pomifera,Turpinia,pomifera,TropicalDry,W,E,TropicalDryE,-1.17,-1.42,-0.25,-1.26,-1.54,-0.28,18.18181818,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Ulnus glaucescens,Ulnus,glaucescens,SemiDesert,W,D,SemiDesert,-1.48,-1.72,-0.24,-1.67,-1.97,-0.3,15.2284264,93.71,91.85,-1.86,-2.025040827,Seasonal adjustment,39.2,111.2666667,Site67,455,0.4312,1055,29,52,155,174,-600,-126,-122,-4,May,June,Chai et al. 2000,
Xanthostemon paradoxus,Xanthostemon,paradoxus,Med/TempDry,W,D,Med/TempDry,-1.39,-1.5,-0.11,-1.69,-1.77,-0.08,4.519774011,83,88,5,5.681818182,Seasonal adjustment,-12.5667,131.0833,Site53,1509,0.8592,1755,125,85,165,139,-246,-40,-54,14,November,April,Myers et al. 1997,
